NO,주소1,주소2,단지명,전용면적(㎡),평수(전용),계약년월,계약연도,계약월,계약일,거래금액(만원),동,층,건축년도,도로명
11825,석사동,근화동,진흥,59.15,17.89279448,202205,2022,05,12,15000,-,1,1997,후석로186번길 9
11826,석사동,근화동,삼익2,73.34,22.18525017,202205,2022,05,12,15500,-,8,1991,공지로 69-9
11827,석사동,근화동,삼익1,84.73,25.63070966,202205,2022,05,12,12500,-,10,1990,춘천순환로 42
11828,석사동,근화동,진흥,59.15,17.89279448,202205,2022,05,11,16900,-,6,1997,후석로186번길 9
11829,석사동,근화동,휴먼타운,84.89,25.67910944,202205,2022,05,11,25750,-,15,2002,지석로 29
11830,석사동,근화동,청구,59.4,17.96841914,202205,2022,05,10,16500,-,10,1997,서부대성로 332
11831,석사동,근화동,봄내,49.86,15.08258213,202205,2022,05,10,9500,-,3,1991,석사길 10
11832,석사동,근화동,청구,59.965,18.13933087,202205,2022,05,9,15600,-,11,1997,서부대성로 332
11833,석사동,근화동,현진에버빌2차,84.96,25.70028435,202205,2022,05,9,34500,-,2,2005,지석로 67
11834,석사동,근화동,봄내,49.86,15.08258213,202205,2022,05,8,9900,-,3,1991,석사길 10
11835,석사동,근화동,두산,59.97,18.14084337,202205,2022,05,7,16600,-,14,1997,후석로186번길 25
11836,석사동,근화동,퇴계주공4,59.99,18.14689334,202211,2022,11,23,17300,-,9,1998,퇴계로 242
11837,석사동,근화동,휴먼타운,84.89,25.67910944,202211,2022,11,16,20700,-,6,2002,지석로 29
11838,석사동,근화동,퇴계주공4,59.99,18.14689334,202211,2022,11,15,15950,-,2,1998,퇴계로 242
11839,석사동,근화동,석사부영,59.76,18.07731865,202211,2022,11,10,13000,-,13,1998,우석로101번길 83
11840,석사동,근화동,청구,59.4,17.96841914,202211,2022,11,6,14900,-,5,1997,서부대성로 332
11841,석사동,근화동,청구,59.4,17.96841914,202211,2022,11,5,14000,-,18,1997,서부대성로 332
11842,석사동,근화동,삼익1,84.73,25.63070966,202211,2022,11,5,13900,-,11,1990,춘천순환로 42
11843,석사동,근화동,현진에버빌2차,84.96,25.70028435,202210,2022,10,31,32300,-,7,2005,지석로 67
11844,석사동,우두동,현대,99.931,30.22899147,202210,2022,10,30,22500,-,1,1998,퇴계로 220-20
11845,석사동,우두동,퇴계3주공,84.87,25.67305947,202210,2022,10,29,26500,-,11,1999,퇴계로 220-19
11846,석사동,우두동,퇴계3주공,84.79,25.64885958,202210,2022,10,29,22000,-,1,1999,퇴계로 220-19
11847,석사동,우두동,석사부영,59.76,18.07731865,202210,2022,10,26,12500,-,9,1998,우석로101번길 83
11848,석사동,우두동,그랜드,84.95,25.69725936,202210,2022,10,25,21000,-,12,1998,우석로101번길 20
11849,석사동,우두동,석사부영,59.76,18.07731865,202210,2022,10,23,13200,-,10,1998,우석로101번길 83
11850,석사동,우두동,석사동현진에버빌1차,84.999,25.7120818,202210,2022,10,22,32000,-,7,2004,지석로 97
11851,석사동,우두동,석사부영,59.76,18.07731865,202210,2022,10,22,12500,-,13,1998,우석로101번길 83
11852,석사동,우두동,청구,59.965,18.13933087,202210,2022,10,21,15000,-,6,1997,서부대성로 332
11853,석사동,우두동,휴먼타운,84.89,25.67910944,202210,2022,10,16,21000,-,1,2002,지석로 29
11854,석사동,우두동,진흥,59.15,17.89279448,202210,2022,10,14,16400,-,14,1997,후석로186번길 9
11855,석사동,우두동,석사동현진에버빌1차,84.999,25.7120818,202210,2022,10,14,32400,-,9,2004,지석로 97
11856,석사동,우두동,석사대우,89.31,27.01615343,202210,2022,10,13,28000,-,12,1998,우석로101번길 86
11857,석사동,우두동,현대,134.99,40.83429125,202210,2022,10,9,33700,-,6,1998,퇴계로 220-20
11858,석사동,우두동,퇴계3주공,84.9,25.68213443,202210,2022,10,8,21000,-,10,1999,퇴계로 220-19
11859,석사동,우두동,휴먼타운,84.89,25.67910944,202210,2022,10,8,22500,-,1,2002,지석로 29
11860,석사동,우두동,삼익1,84.73,25.63070966,202210,2022,10,7,14000,-,12,1990,춘천순환로 42
11861,석사동,우두동,두산,59.97,18.14084337,202210,2022,10,6,15300,-,7,1997,후석로186번길 25
11862,석사동,우두동,현대,99.921,30.22596648,202210,2022,10,4,28200,-,5,1998,퇴계로 220-20
11863,석사동,우두동,석사대우,134.34,40.63766713,202209,2022,09,29,35000,-,11,1998,우석로101번길 86
11864,석사동,우두동,석사부영,59.76,18.07731865,202209,2022,09,29,13500,-,7,1998,우석로101번길 83
11865,석사동,우두동,신도브래뉴,84.9618,25.70082885,202209,2022,09,29,34700,-,6,2007,공지로 69-10
11866,석사동,우두동,현대,99.931,30.22899147,202209,2022,09,28,26900,-,11,1998,퇴계로 220-20
11867,석사동,우두동,두산,59.97,18.14084337,202209,2022,09,27,16700,-,11,1997,후석로186번길 25
11868,석사동,우두동,삼익2,84.36,25.51878517,202209,2022,09,26,15500,-,1,1991,공지로 69-9
11869,석사동,우두동,삼익1,84.73,25.63070966,202209,2022,09,26,13000,-,15,1990,춘천순환로 42
11870,석사동,우두동,두산,59.97,18.14084337,202209,2022,09,24,16350,-,2,1997,후석로186번길 25
